Emp_ID,Target
394,0
173,1
1090,0
840,1
308,1
1864,1
1606,0
954,0
2422,1
1841,0
1484,1
2727,1
1031,1
2137,1
2568,1
1745,0
2668,0
2617,1
2070,1
1446,1
1043,0
2561,1
945,1
2517,0
1039,1
2594,0
115,0
870,1
329,0
973,1
1892,1
2740,1
1093,0
693,0
1817,1
1753,0
2420,0
1655,0
1573,1
2365,0
1623,1
2625,1
1335,0
450,0
2087,1
2576,0
2771,0
1549,0
1657,0
1957,0
1662,0
1588,1
2615,0
2027,1
2714,1
556,1
377,1
605,0
791,1
1147,1
68,0
2784,0
1181,0
1782,0
2299,1
1238,0
402,1
1109,1
990,0
425,1
569,1
2454,1
926,1
391,0
2110,0
1875,1
117,0
1714,0
1106,0
422,1
150,0
2179,0
2684,0
762,1
718,0
1694,0
1051,1
2104,1
1225,0
63,1
275,0
1733,1
2541,0
140,1
1037,0
407,0
1770,1
946,1
604,1
893,0
2200,0
2114,0
1243,1
2076,0
2597,1
60,1
662,1
765,1
199,0
1526,0
1486,0
1179,0
1161,0
2259,1
1191,1
1811,1
1510,0
434,1
1918,0
753,0
25,0
1414,1
1426,0
716,0
2283,0
1840,1
1678,0
1859,0
2381,1
2008,1
1050,0
581,1
2289,1
713,0
1924,0
2257,1
1504,1
1670,0
2551,1
1874,1
26,0
2308,1
1259,0
77,1
568,0
1370,0
704,1
2494,1
1077,1
592,0
2390,1
832,0
904,1
2567,1
1274,0
2543,0
296,0
1374,1
1852,1
252,0
888,0
1234,1
112,1
2399,0
1265,1
2166,1
320,0
1968,0
2690,0
2228,1
56,0
723,0
560,0
580,0
1679,0
1783,0
371,1
2546,0
2505,0
2224,1
1271,0
213,1
1936,0
1642,1
1213,1
78,0
368,1
943,1
1165,0
1432,1
2223,0
2407,1
1316,1
1139,1
789,1
2552,1
2670,0
2028,1
67,1
2055,0
2198,0
2272,1
2210,1
2398,0
272,1
2754,1
2473,1
1327,1
359,1
2160,1
1563,1
1206,0
1858,1
516,1
41,1
1382,0
1405,0
2730,0
772,1
54,1
1222,0
697,1
453,0
1334,0
992,1
682,0
766,1
1283,1
2148,0
2729,0
1668,0
1290,1
1013,0
906,0
2357,1
87,1
2533,1
1532,0
1977,1
565,1
1598,0
400,0
2109,1
168,0
956,0
2417,1
1276,0
734,0
550,1
532,1
2708,1
2050,1
358,1
1177,1
1267,0
1982,0
933,0
538,0
1057,1
2453,0
188,0
2241,1
552,0
1119,0
2382,0
1284,0
2480,0
1658,0
582,0
2258,0
444,0
1633,1
1958,0
2334,1
2633,0
388,0
537,1
1579,0
2193,1
1263,0
2318,1
351,1
835,0
493,1
341,0
191,0
1929,1
991,0
828,0
234,0
1869,0
570,0
2012,1
323,1
1249,1
1989,1
1830,1
2496,0
446,0
1475,0
1972,0
639,0
1888,0
710,0
2639,0
2014,1
848,1
2781,0
2199,1
357,0
494,0
1178,0
2611,1
2728,0
1149,1
521,1
375,1
2763,1
192,1
658,1
109,1
2052,0
1752,0
2483,1
2386,0
2205,1
2347,0
2569,0
644,1
2449,0
1230,1
1652,1
698,0
1200,0
1078,1
1592,1
210,1
1144,1
1980,1
2096,0
752,1
258,0
2610,1
2217,1
362,0
619,0
1527,1
999,0
431,0
1793,0
501,0
483,0
1605,0
1836,0
2464,0
1914,1
271,1
1805,0
2446,1
1741,0
2078,0
45,1
721,0
265,1
806,1
587,0
1884,0
617,0
1070,1
2082,0
137,1
2788,0
1447,1
960,1
2208,1
865,0
472,1
441,1
2699,1
740,1
1837,0
782,1
2715,1
2344,0
2169,1
889,1
233,1
2497,1
1495,0
509,1
981,0
276,0
31,1
2511,1
1801,0
595,0
2178,0
324,1
52,0
1599,1
1393,1
643,1
1505,0
129,1
1956,0
2276,1
1419,1
2664,0
1372,0
785,1
1097,1
1831,1
409,0
289,1
673,0
225,0
1776,0
1345,1
2322,0
648,1
1399,0
2761,0
1231,1
571,1
1962,0
1594,0
2705,1
2498,0
2090,0
6,0
1073,0
1433,0
2439,0
1666,0
1118,1
1087,1
1871,1
345,1
597,0
1214,0
2587,1
1099,1
959,0
2672,0
1676,1
583,0
1032,1
1341,0
2089,1
1764,1
1116,0
1637,0
1514,0
2423,0
458,0
376,1
1169,0
2686,0
2254,1
1054,0
524,0
122,1
2752,0
988,0
1015,1
218,0
2345,1
39,1
737,0
2424,1
2188,0
1428,0
2646,1
2331,0
642,0
2135,1
1198,1
559,1
875,1
982,0
1114,1
243,1
548,0
1159,0
