Emp_ID,Target
394,0
173,0
1090,0
840,0
308,0
1864,1
1606,1
954,0
2422,1
1841,1
1484,1
2727,1
1031,0
2137,1
2568,1
1745,1
2668,1
2617,1
2070,1
1446,1
1043,0
2561,1
945,0
2517,1
1039,0
2594,1
115,0
870,0
329,0
973,0
1892,1
2740,1
1093,0
693,0
1817,1
1753,1
2420,1
1655,1
1573,1
2365,1
1623,1
2625,1
1335,0
450,0
2087,1
2576,1
2771,1
1549,1
1657,1
1957,1
1662,1
1588,1
2615,1
2027,1
2714,1
556,0
377,0
605,0
791,0
1147,0
68,0
2784,1
1181,0
1782,1
2299,1
1238,0
402,0
1109,0
990,0
425,0
569,0
2454,1
926,0
391,0
2110,1
1875,1
117,0
1714,1
1106,0
422,0
150,0
2179,1
2684,1
762,0
718,0
1694,1
1051,0
2104,1
1225,0
63,0
275,0
1733,1
2541,1
140,0
1037,0
407,0
1770,1
946,0
604,0
893,0
2200,1
2114,1
1243,0
2076,1
2597,1
60,0
662,0
765,0
199,0
1526,1
1486,1
1179,0
1161,0
2259,1
1191,0
1811,1
1510,1
434,0
1918,1
753,0
25,0
1414,1
1426,1
716,0
2283,1
1840,1
1678,1
1859,1
2381,1
2008,1
1050,0
581,0
2289,1
713,0
1924,1
2257,1
1504,1
1670,1
2551,1
1874,1
26,0
2308,1
1259,0
77,0
568,0
1370,0
704,0
2494,1
1077,0
592,0
2390,1
832,0
904,0
2567,1
1274,0
2543,1
296,0
1374,0
1852,1
252,0
888,0
1234,0
112,0
2399,1
1265,0
2166,1
320,0
1968,1
2690,1
2228,1
56,0
723,0
560,0
580,0
1679,1
1783,1
371,0
2546,1
2505,1
2224,1
1271,0
213,0
1936,1
1642,1
1213,0
78,0
368,0
943,0
1165,0
1432,1
2223,1
2407,1
1316,0
1139,0
789,0
2552,1
2670,1
2028,1
67,0
2055,1
2198,1
2272,1
2210,1
2398,1
272,0
2754,1
2473,1
1327,0
359,0
2160,1
1563,1
1206,0
1858,1
516,0
41,0
1382,0
1405,1
2730,1
772,0
54,0
1222,0
697,0
453,0
1334,0
992,0
682,0
766,0
1283,0
2148,1
2729,1
1668,1
1290,0
1013,0
906,0
2357,1
87,0
2533,1
1532,1
1977,1
565,0
1598,1
400,0
2109,1
168,0
956,0
2417,1
1276,0
734,0
550,0
532,0
2708,1
2050,1
358,0
1177,0
1267,0
1982,1
933,0
538,0
1057,0
2453,1
188,0
2241,1
552,0
1119,0
2382,1
1284,0
2480,1
1658,1
582,0
2258,1
444,0
1633,1
1958,1
2334,1
2633,1
388,0
537,0
1579,1
2193,1
1263,0
2318,1
351,0
835,0
493,0
341,0
191,0
1929,1
991,0
828,0
234,0
1869,1
570,0
2012,1
323,0
1249,0
1989,1
1830,1
2496,1
446,0
1475,1
1972,1
639,0
1888,1
710,0
2639,1
2014,1
848,0
2781,1
2199,1
357,0
494,0
1178,0
2611,1
2728,1
1149,0
521,0
375,0
2763,1
192,0
658,0
109,0
2052,1
1752,1
2483,1
2386,1
2205,1
2347,1
2569,1
644,0
2449,1
1230,0
1652,1
698,0
1200,0
1078,0
1592,1
210,0
1144,0
1980,1
