MMM-YY,Emp_ID,Age,Gender,City,Education_Level,Salary,Dateofjoining,LastWorkingDate,Joining Designation,Designation,Total Business Value,Quarterly Rating
2016-01-01,1,28,Male,C23,Master,57387,2015-12-24,,1,1,2381060,2
2017-11-01,2,31,Male,C7,Master,67016,2017-11-06,,2,2,0,1
2016-12-01,4,43,Male,C13,Master,65603,2016-12-07,,2,2,0,1
2016-01-01,5,29,Male,C9,College,46368,2016-01-09,,1,1,0,1
2017-08-01,6,31,Female,C11,Bachelor,78728,2017-07-31,,3,3,0,1
2017-09-01,8,34,Male,C2,College,70656,2017-09-19,,3,3,0,1
2017-12-01,11,28,Female,C19,Master,42172,2017-12-07,,1,1,0,1
2016-07-01,12,35,Male,C23,Master,28116,2016-06-29,,1,1,500000,4
2016-01-01,13,29,Male,C19,Master,119227,2012-05-28,,1,4,250000,1
2017-10-01,14,39,Female,C26,College,19734,2017-10-16,,3,3,0,1
2016-01-01,16,30,Female,C23,College,52963,2015-11-30,,2,2,346800,1
2016-01-01,17,42,Male,C20,Master,51099,2015-03-06,,1,1,100000,2
2016-01-01,18,27,Female,C17,Bachelor,31631,2016-01-09,,1,1,0,1
2016-10-01,20,26,Female,C19,College,40342,2016-10-25,,3,3,0,1
2016-01-01,21,33,Female,C29,Bachelor,22755,2015-05-12,,1,1,948560,4
2016-01-01,22,40,Male,C10,Master,31224,2015-05-25,,1,1,216170,2
2016-01-01,24,30,Male,C24,Master,76308,2015-05-25,,1,2,106460,2
2016-01-01,25,29,Male,C24,Bachelor,102077,2014-10-30,,1,3,2552300,3
2016-01-01,26,41,Male,C14,Master,121529,2015-05-07,,1,3,243110,4
2016-01-01,29,30,Male,C13,Master,30312,2015-05-20,,1,1,231840,2
2016-10-01,30,31,Male,C6,Bachelor,69457,2016-10-03,,3,3,0,1
2017-07-01,31,32,Female,C28,Master,65189,2017-07-04,,3,3,0,1
2017-08-01,34,28,Female,C14,Bachelor,65813,2017-07-31,,2,2,285830,2
2017-03-01,35,32,Male,C5,Bachelor,68070,2017-03-07,,3,3,300000,1
2016-07-01,36,40,Female,C18,Bachelor,32865,2016-07-01,,2,2,0,2
2017-05-01,37,33,Female,C14,Bachelor,57375,2017-05-16,,2,2,0,1
2016-12-01,38,22,Male,C27,College,13427,2016-12-06,,1,1,0,1
2017-08-01,39,32,Male,C26,College,72888,2017-08-08,,2,2,966340,3
2016-11-01,40,32,Male,C15,College,59182,2016-11-08,,2,2,0,1
2016-07-01,41,33,Male,C29,Master,92372,2016-07-04,,4,4,0,1
2016-01-01,42,44,Female,C28,College,45988,2015-10-20,,2,2,147900,1
2016-01-01,43,27,Female,C15,College,12906,2015-07-13,,1,1,359890,1
2017-09-01,44,28,Male,C17,Master,62100,2017-09-25,,1,1,0,1
2017-06-01,45,35,Male,C8,Master,77544,2017-05-29,,3,3,0,1
2016-01-01,46,36,Female,C25,Master,42171,2015-10-28,,1,1,231860,1
2017-10-01,47,30,Male,C21,Bachelor,28000,2017-10-09,,1,1,0,2
2016-01-01,49,21,Male,C20,College,53039,2015-05-25,,1,2,171760,1
2016-01-01,50,49,Female,C5,College,89367,2015-11-20,,3,3,110310,1
2016-01-01,51,33,Male,C14,College,131347,2014-05-22,,4,4,0,1
2017-07-01,52,36,Male,C19,College,48687,2017-06-28,,3,3,0,1
2016-07-01,54,33,Male,C29,Bachelor,117993,2016-07-11,,4,4,0,2
2016-11-01,55,30,Female,C8,College,29985,2016-11-21,,1,1,0,1
2016-01-01,56,34,Female,C19,Master,80223,2015-07-20,,1,1,402040,3
2016-01-01,57,36,Female,C1,Bachelor,84318,2014-07-26,,1,2,414260,3
2016-01-01,58,41,Male,C4,College,57987,2015-10-15,2016-01-25,2,2,0,1
2016-01-01,59,35,Female,C18,Bachelor,31644,2016-01-06,,1,1,0,1
2016-01-01,60,46,Female,C20,College,82126,2013-09-17,,1,3,913700,4
2016-01-01,61,32,Male,C11,Master,19818,2015-05-04,,1,1,0,1
2017-12-01,62,27,Male,C9,Master,62376,2017-11-28,,1,1,0,1
2016-01-01,63,26,Male,C6,College,93931,2013-04-30,,1,3,293250,1
2017-02-01,64,33,Male,C27,Master,66502,2017-01-31,,2,2,0,1
2016-01-01,65,28,Female,C7,Bachelor,69539,2015-07-31,,2,2,0,2
2017-01-01,66,27,Female,C4,Master,104286,2017-01-21,,3,3,0,1
2016-01-01,67,39,Male,C28,Master,65982,2016-01-04,,1,2,0,2
2016-01-01,68,30,Male,C29,College,79288,2012-10-18,,1,3,2026230,3
2016-11-01,69,31,Female,C7,Bachelor,64604,2016-11-14,,2,2,0,1
2016-01-01,70,35,Male,C20,Bachelor,19235,2015-10-08,2016-01-29,1,1,0,1
2016-01-01,71,43,Male,C20,Master,54103,2015-05-25,,3,3,188780,1
2017-10-01,72,28,Male,C14,Master,42242,2017-10-18,,2,2,0,1
2017-05-01,74,34,Female,C5,Master,59216,2017-05-01,,2,2,0,1
2017-07-01,75,25,Female,C18,Master,39884,2017-07-21,,2,2,0,2
2016-01-01,77,33,Male,C3,Master,63918,2015-05-18,,1,2,205550,2
2016-01-01,78,35,Male,C21,College,105946,2015-09-16,,2,4,318700,2
2016-07-01,79,32,Male,C14,Bachelor,114648,2016-07-09,,4,4,0,1
2017-10-01,80,29,Female,C7,College,56687,2017-10-02,,2,2,0,1
2016-01-01,81,38,Male,C9,Master,77177,2015-06-12,,1,2,259940,2
2017-04-01,82,37,Female,C24,Bachelor,89013,2017-04-11,,3,3,0,1
2016-09-01,83,34,Male,C23,Master,115159,2016-08-29,,3,3,0,1
2016-07-01,84,41,Male,C16,College,25950,2016-07-04,,1,1,0,1
2017-10-01,85,24,Male,C22,Master,49509,2017-09-28,,1,1,0,1
2016-01-01,86,35,Male,C2,Master,49510,2015-05-28,2016-01-27,1,1,0,1
2016-09-01,87,36,Male,C6,Bachelor,119341,2016-08-31,,3,3,0,1
2016-01-01,88,45,Female,C3,College,62298,2015-01-06,,2,2,824700,3
2016-06-01,89,27,Male,C2,Bachelor,58977,2016-05-30,,2,2,0,1
2016-11-01,90,32,Male,C22,College,29408,2016-11-11,,2,2,0,1
2016-08-01,91,31,Male,C21,College,22731,2016-08-03,,2,2,0,1
2016-01-01,93,30,Male,C17,Master,39527,2015-07-14,,2,2,1220120,2
