ID,Sales
T1188341,51971.145
T1188342,33408.586
T1188343,60842.133
T1188344,35269.32
T1188345,34975.227
T1188346,60842.133
T1188347,51971.145
T1188348,44450.137
T1188349,47421.258
T1188350,32522.648
T1188351,46475.52
T1188352,34975.227
T1188353,35531.637
T1188354,38617.3
T1188355,38080.13
T1188356,30042.848
T1188357,44442.363
T1188358,22122.76
T1188359,33408.586
T1188360,46804.105
T1188361,27956.336
T1188362,35629.95
T1188363,38080.13
T1188364,27956.336
T1188365,35629.95
T1188366,29919.86
T1188367,34975.227
T1188368,29493.227
T1188369,34975.227
T1188370,45418.496
T1188371,34975.227
T1188372,46475.52
T1188373,28840.984
T1188374,30042.848
T1188375,60842.133
T1188376,52404.836
T1188377,30042.848
T1188378,34975.227
T1188379,25766.287
T1188380,60842.133
T1188381,29919.86
T1188382,34975.227
T1188383,29929.287
T1188384,29919.86
T1188385,40422.33
T1188386,35531.637
T1188387,60842.133
T1188388,56102.836
T1188389,29493.227
T1188390,78332.51
T1188391,35531.637
T1188392,48203
T1188393,60842.133
T1188394,42168.86
T1188395,35531.637
T1188396,60842.133
T1188397,35531.637
T1188398,38617.3
T1188399,34975.227
T1188400,44442.363
T1188401,33408.586
T1188402,20406.838
T1188403,60842.133
T1188404,33408.586
T1188405,34975.227
T1188406,23176.2
T1188407,51971.145
T1188408,35269.32
T1188409,40652.574
T1188410,23489.28
T1188411,51971.145
T1188412,22122.76
T1188413,35531.637
T1188414,27956.336
T1188415,34975.227
T1188416,38617.3
T1188417,46475.52
T1188418,35269.32
T1188419,45418.496
T1188420,56102.836
T1188421,20406.838
T1188422,48203
T1188423,56102.836
T1188424,35531.637
T1188425,34975.227
T1188426,35531.637
T1188427,56102.836
T1188428,34975.227
T1188429,60842.133
T1188430,45418.496
T1188431,35531.637
T1188432,19117.205
T1188433,51971.145
T1188434,35269.32
T1188435,28719.324
T1188436,45418.496
T1188437,56102.836
T1188438,23489.28
T1188439,45217.848
T1188440,34975.227
T1188441,29919.86
T1188442,33408.586
T1188443,35531.637
T1188444,38080.13
T1188445,33408.586
T1188446,26956.783
T1188447,60842.133
T1188448,51971.145
T1188449,34975.227
T1188450,35269.32
T1188451,46804.105
T1188452,19117.205
T1188453,45418.496
