ID,Sales
T1188341,51400.594
T1188342,33700.55
T1188343,60201.906
T1188344,35891.062
T1188345,35633.676
T1188346,60201.906
T1188347,51400.594
T1188348,43913.156
T1188349,47360.586
T1188350,33223.242
T1188351,46025.406
T1188352,35633.676
T1188353,35508.387
T1188354,38300.93
T1188355,38672.55
T1188356,30599.545
T1188357,44540.582
T1188358,22464.139
T1188359,33700.55
T1188360,46846.7
T1188361,28440.693
T1188362,35231.164
T1188363,38672.55
T1188364,28440.693
T1188365,35231.164
T1188366,30769.148
T1188367,35633.676
T1188368,30687.855
T1188369,35633.676
T1188370,45813.85
T1188371,35633.676
T1188372,46025.406
T1188373,29132.574
T1188374,30599.545
T1188375,60201.906
T1188376,53304.19
T1188377,30599.545
T1188378,35633.676
T1188379,26859.348
T1188380,60201.906
T1188381,30769.148
T1188382,35633.676
T1188383,30648.209
T1188384,30769.148
T1188385,40905.195
T1188386,35508.387
T1188387,60201.906
T1188388,56081.117
T1188389,30687.855
T1188390,76736.06
T1188391,35508.387
T1188392,49216.934
T1188393,60201.906
T1188394,41896.977
T1188395,35508.387
T1188396,60201.906
T1188397,35508.387
T1188398,38300.93
T1188399,35633.676
T1188400,44540.582
T1188401,33700.55
T1188402,20664.982
T1188403,60201.906
T1188404,33700.55
T1188405,35633.676
T1188406,23991.74
T1188407,51400.594
T1188408,35891.062
T1188409,40786.266
T1188410,24616.674
T1188411,51400.594
T1188412,22464.139
T1188413,35508.387
T1188414,28440.693
T1188415,35633.676
T1188416,38300.93
T1188417,46025.406
T1188418,35891.062
T1188419,45813.85
T1188420,56081.117
T1188421,20664.982
T1188422,49216.934
T1188423,56081.117
T1188424,35508.387
T1188425,35633.676
T1188426,35508.387
T1188427,56081.117
T1188428,35633.676
T1188429,60201.906
T1188430,45813.85
T1188431,35508.387
T1188432,19529.248
T1188433,51400.594
T1188434,35891.062
T1188435,29766.91
T1188436,45813.85
T1188437,56081.117
T1188438,24616.674
T1188439,44937.38
T1188440,35633.676
T1188441,30769.148
T1188442,33700.55
T1188443,35508.387
T1188444,38672.55
T1188445,33700.55
T1188446,27231.727
T1188447,60201.906
T1188448,51400.594
T1188449,35633.676
T1188450,35891.062
T1188451,46846.7
T1188452,19529.248
T1188453,45813.85
T1188454,30769.148
T1188455,60201.906
T1188456,26428.738
T1188457,26709.412
T1188458,33700.55
T1188459,60201.906
T1188460,20664.982
T1188461,41896.977
T1188462,35633.676
T1188463,21504.174
T1188464,45813.85
T1188465,33700.55
T1188466,30599.545
T1188467,23492.162
T1188468,35891.062
T1188469,35508.387
T1188470,19529.248
T1188471,35633.676
T1188472,40905.195
T1188473,40905.195
T1188474,44540.582
T1188475,19529.248
T1188476,43913.156
T1188477,35891.062
T1188478,35508.387
T1188479,19529.248
T1188480,41896.977
T1188481,47360.586
T1188482,40905.195
T1188483,46025.406
T1188484,47360.586
T1188485,28440.693
T1188486,21504.174
T1188487,34903.637
T1188488,35508.387
T1188489,35633.676
T1188490,47360.586
T1188491,35508.387
T1188492,29132.574
T1188493,30769.148
T1188494,46025.406
T1188495,25570.832
T1188496,44540.582
T1188497,23492.162
T1188498,35633.676
T1188499,35633.676
T1188500,53304.19
T1188501,30599.545
T1188502,35633.676
T1188503,29902.953
T1188504,29132.574
T1188505,30769.148
T1188506,45813.85
T1188507,35891.062
T1188508,35633.676
T1188509,26393.494
T1188510,35633.676
T1188511,30769.148
T1188512,38672.55
T1188513,29766.91
T1188514,35891.062
T1188515,56081.117
T1188516,35633.676
T1188517,49216.934
T1188518,35891.062
T1188519,45813.85
T1188520,20664.982
T1188521,46846.7
T1188522,35508.387
T1188523,28440.693
T1188524,41885.445
T1188525,60201.906
T1188526,28440.693
T1188527,35508.387
T1188528,33223.242
T1188529,45813.85
T1188530,35508.387
T1188531,48092.773
T1188532,35891.062
T1188533,35633.676
T1188534,35633.676
T1188535,51400.594
T1188536,60201.906
T1188537,56081.117
T1188538,56081.117
T1188539,44540.582
T1188540,38672.55
T1188541,35508.387
T1188542,60201.906
T1188543,35508.387
T1188544,35891.062
T1188545,35633.676
T1188546,28182.633
T1188547,35891.062
T1188548,46025.406
T1188549,28440.693
T1188550,33700.55
T1188551,35891.062
T1188552,19529.248
T1188553,35508.387
T1188554,60201.906
T1188555,35891.062
T1188556,51400.594
T1188557,22464.139
T1188558,28182.633
T1188559,33700.55
T1188560,35508.387
T1188561,38672.55
T1188562,25570.832
T1188563,35891.062
T1188564,56081.117
T1188565,38672.55
T1188566,38300.93
T1188567,45813.85
T1188568,22464.139
T1188569,35508.387
T1188570,35633.676
T1188571,26393.494
T1188572,60201.906
T1188573,29132.574
T1188574,35633.676
T1188575,35508.387
T1188576,60201.906
T1188577,35891.062
T1188578,29132.574
T1188579,33700.55
T1188580,33700.55
T1188581,30599.545
T1188582,26709.412
T1188583,30769.148
T1188584,25570.832
T1188585,76736.06
T1188586,35891.062
T1188587,45813.85
T1188588,30769.148
T1188589,23492.162
T1188590,35508.387
T1188591,27231.727
T1188592,28779.1
T1188593,19529.248
T1188594,60201.906
T1188595,30599.545
T1188596,35633.676
T1188597,76736.06
T1188598,60201.906
T1188599,51632.965
T1188600,30769.148
T1188601,40905.195
T1188602,26859.348
T1188603,71646.39
T1188604,35508.387
T1188605,45813.85
T1188606,26709.412
T1188607,51885.652
T1188608,38300.93
T1188609,26859.348
T1188610,56081.117
T1188611,28182.633
T1188612,44540.582
T1188613,45813.85
T1188614,51400.594
T1188615,29132.574
T1188616,53304.19
T1188617,28182.633
T1188618,46025.406
T1188619,22464.139
T1188620,35508.387
T1188621,30599.545
T1188622,33700.55
T1188623,45813.85
T1188624,24616.674
T1188625,56081.117
T1188626,33700.55
T1188627,33700.55
T1188628,40905.195
T1188629,30599.545
T1188630,35633.676
T1188631,28182.633
T1188632,38672.55
T1188633,35891.062
T1188634,30769.148
T1188635,38300.93
T1188636,26393.494
T1188637,45813.85
T1188638,29132.574
T1188639,60201.906
T1188640,24616.674
T1188641,33700.55
T1188642,35231.164
T1188643,38672.55
T1188644,26859.348
T1188645,30648.209
T1188646,30599.545
T1188647,29132.574
T1188648,35633.676
T1188649,26859.348
T1188650,29766.91
T1188651,30599.545
T1188652,60711.23
T1188653,45813.85
T1188654,35508.387
T1188655,27231.727
T1188656,41896.977
T1188657,40905.195
T1188658,38672.55
T1188659,44937.38
T1188660,30599.545
T1188661,51400.594
T1188662,60201.906
T1188663,35891.062
T1188664,19529.248
T1188665,35508.387
T1188666,48092.773
T1188667,35508.387
T1188668,60201.906
T1188669,60201.906
T1188670,60201.906
T1188671,60201.906
T1188672,60201.906
T1188673,51400.594
T1188674,35633.676
T1188675,45813.85
T1188676,35633.676
T1188677,26709.412
T1188678,46563.22
T1188679,51400.594
T1188680,24616.674
T1188681,26709.412
T1188682,46846.7
T1188683,38300.93
T1188684,24616.674
T1188685,60201.906
T1188686,35891.062
T1188687,45813.85
T1188688,30769.148
T1188689,45813.85
T1188690,35891.062
T1188691,47360.586
T1188692,35633.676
T1188693,60201.906
T1188694,23991.74
T1188695,28182.633
T1188696,43913.156
T1188697,30599.545
T1188698,60201.906
T1188699,56081.117
T1188700,43468.855
T1188701,26501.186
T1188702,60711.23
T1188703,27231.727
T1188704,33700.55
T1188705,53304.19
T1188706,60201.906
T1188707,33700.55
T1188708,23991.74
T1188709,46846.7
T1188710,60201.906
T1188711,38672.55
T1188712,28182.633
T1188713,60201.906
T1188714,35891.062
T1188715,29132.574
T1188716,19529.248
T1188717,60201.906
T1188718,35508.387
T1188719,35508.387
T1188720,20664.982
T1188721,24616.674
T1188722,60201.906
T1188723,60201.906
T1188724,19529.248
T1188725,35891.062
T1188726,41896.977
T1188727,35633.676
T1188728,47360.586
T1188729,35508.387
T1188730,40905.195
T1188731,51400.594
T1188732,30599.545
T1188733,46025.406
T1188734,60201.906
T1188735,20664.982
T1188736,28440.693
T1188737,29132.574
T1188738,21504.174
T1188739,35891.062
T1188740,35891.062
T1188741,35891.062
T1188742,48092.773
T1188743,35891.062
T1188744,38672.55
T1188745,51400.594
T1188746,38300.93
T1188747,35633.676
T1188748,45813.85
T1188749,29132.574
T1188750,30599.545
T1188751,60201.906
T1188752,22464.139
T1188753,60201.906
T1188754,35508.387
T1188755,44937.38
T1188756,35633.676
T1188757,33700.55
T1188758,56081.117
T1188759,60201.906
T1188760,40905.195
T1188761,35891.062
T1188762,51400.594
T1188763,45813.85
T1188764,22464.139
T1188765,41896.977
T1188766,35633.676
T1188767,35508.387
T1188768,28182.633
T1188769,26393.494
T1188770,51400.594
T1188771,45813.85
T1188772,35508.387
T1188773,60201.906
T1188774,38672.55
T1188775,35891.062
T1188776,25570.832
T1188777,23991.74
T1188778,19529.248
T1188779,45813.85
T1188780,43913.156
T1188781,35508.387
T1188782,49216.934
T1188783,29132.574
T1188784,26859.348
T1188785,30769.148
T1188786,45813.85
T1188787,38672.55
T1188788,35891.062
T1188789,20664.982
T1188790,29902.953
T1188791,35633.676
T1188792,26393.494
T1188793,46846.7
T1188794,35633.676
T1188795,35231.164
T1188796,30769.148
T1188797,56081.117
T1188798,38672.55
T1188799,24616.674
T1188800,60711.23
T1188801,29766.91
T1188802,26501.186
T1188803,30599.545
T1188804,29766.91
T1188805,35508.387
T1188806,30599.545
T1188807,29132.574
T1188808,35633.676
T1188809,46025.406
T1188810,26709.412
T1188811,25570.832
T1188812,35633.676
T1188813,26859.348
T1188814,35508.387
T1188815,23492.162
T1188816,35633.676
T1188817,35633.676
T1188818,29132.574
T1188819,53304.19
T1188820,38300.93
T1188821,30599.545
T1188822,44540.582
T1188823,60201.906
T1188824,56081.117
T1188825,45813.85
T1188826,47360.586
T1188827,33700.55
T1188828,35508.387
T1188829,35633.676
T1188830,19529.248
T1188831,45813.85
T1188832,35633.676
T1188833,40905.195
T1188834,23492.162
T1188835,35508.387
T1188836,28440.693
T1188837,34903.637
T1188838,27231.727
T1188839,19529.248
T1188840,26709.412
T1188841,43913.156
T1188842,35633.676
T1188843,35891.062
T1188844,44540.582
T1188845,38672.55
T1188846,30599.545
T1188847,38300.93
T1188848,35633.676
T1188849,29132.574
T1188850,49216.934
T1188851,47360.586
T1188852,45813.85
T1188853,35633.676
T1188854,35891.062
T1188855,35508.387
T1188856,26393.494
T1188857,40905.195
T1188858,45813.85
T1188859,41896.977
T1188860,46025.406
T1188861,35633.676
T1188862,30769.148
T1188863,21504.174
T1188864,45813.85
T1188865,35891.062
T1188866,33700.55
T1188867,35508.387
T1188868,33700.55
T1188869,28440.693
T1188870,28440.693
T1188871,43913.156
T1188872,30599.545
T1188873,35633.676
T1188874,35633.676
T1188875,51400.594
T1188876,35508.387
T1188877,33700.55
T1188878,33700.55
T1188879,27231.727
T1188880,60201.906
T1188881,35891.062
T1188882,60201.906
T1188883,46025.406
T1188884,51400.594
T1188885,38672.55
T1188886,28182.633
T1188887,33223.242
T1188888,30769.148
T1188889,22464.139
T1188890,46025.406
T1188891,28440.693
T1188892,35633.676
T1188893,26709.412
T1188894,71646.39
T1188895,35633.676
T1188896,30687.855
T1188897,33700.55
T1188898,76736.06
T1188899,35508.387
T1188900,33700.55
T1188901,33700.55
T1188902,51400.594
T1188903,56081.117
T1188904,41896.977
T1188905,28182.633
T1188906,35508.387
T1188907,24616.674
T1188908,35633.676
T1188909,60201.906
T1188910,35633.676
T1188911,49216.934
T1188912,60201.906
T1188913,73027.555
T1188914,35508.387
T1188915,26859.348
T1188916,35508.387
T1188917,44937.38
T1188918,26709.412
T1188919,51885.652
T1188920,35633.676
T1188921,45813.85
T1188922,24616.674
T1188923,38672.55
T1188924,35508.387
T1188925,19529.248
T1188926,53304.19
T1188927,51400.594
T1188928,46563.22
T1188929,35891.062
T1188930,56081.117
T1188931,29766.91
T1188932,60711.23
T1188933,30599.545
T1188934,35633.676
T1188935,26709.412
T1188936,35231.164
T1188937,30769.148
T1188938,29132.574
T1188939,38300.93
T1188940,38672.55
T1188941,51400.594
T1188942,30599.545
T1188943,33700.55
T1188944,44540.582
T1188945,56081.117
T1188946,45813.85
T1188947,24616.674
T1188948,22464.139
T1188949,44540.582
T1188950,33700.55
T1188951,46846.7
T1188952,28182.633
T1188953,28440.693
T1188954,35633.676
T1188955,47651.6
T1188956,43468.855
T1188957,35508.387
T1188958,45813.85
T1188959,76736.06
T1188960,51400.594
T1188961,46025.406
T1188962,35633.676
T1188963,60201.906
T1188964,35633.676
T1188965,56081.117
T1188966,30599.545
T1188967,35633.676
T1188968,56081.117
T1188969,44540.582
T1188970,60201.906
T1188971,38672.55
T1188972,26428.738
T1188973,35508.387
T1188974,71646.39
T1188975,60201.906
T1188976,35508.387
T1188977,38300.93
T1188978,19529.248
T1188979,56081.117
T1188980,60201.906
T1188981,33700.55
T1188982,35633.676
T1188983,40905.195
T1188984,35508.387
T1188985,26859.348
T1188986,41885.445
T1188987,44540.582
T1188988,60201.906
T1188989,35891.062
T1188990,40905.195
T1188991,27231.727
T1188992,35508.387
T1188993,30769.148
T1188994,33223.242
T1188995,22464.139
T1188996,51632.965
T1188997,35508.387
T1188998,48092.773
T1188999,28440.693
T1189000,24616.674
T1189001,35891.062
T1189002,27231.727
T1189003,60201.906
T1189004,53304.19
T1189005,19529.248
T1189006,25570.832
T1189007,35633.676
T1189008,60201.906
T1189009,26859.348
T1189010,30769.148
T1189011,60201.906
T1189012,60201.906
T1189013,30769.148
T1189014,28779.1
T1189015,30648.209
T1189016,60201.906
T1189017,35508.387
T1189018,30769.148
T1189019,35891.062
T1189020,40905.195
T1189021,46846.7
T1189022,30599.545
T1189023,35891.062
T1189024,29132.574
T1189025,28182.633
T1189026,60201.906
T1189027,35891.062
T1189028,51400.594
T1189029,20664.982
T1189030,30769.148
T1189031,45813.85
T1189032,23492.162
T1189033,33700.55
T1189034,56081.117
T1189035,30769.148
T1189036,45813.85
T1189037,30769.148
T1189038,35633.676
T1189039,35891.062
T1189040,30687.855
T1189041,45813.85
T1189042,46025.406
T1189043,45813.85
T1189044,33700.55
T1189045,60201.906
T1189046,30648.209
T1189047,47360.586
T1189048,35508.387
T1189049,38300.93
T1189050,30599.545
T1189051,35508.387
T1189052,38300.93
T1189053,35633.676
T1189054,60201.906
T1189055,51400.594
T1189056,35231.164
T1189057,33700.55
T1189058,60201.906
T1189059,45813.85
T1189060,35633.676
T1189061,71646.39
T1189062,35633.676
T1189063,60201.906
T1189064,35891.062
T1189065,47360.586
T1189066,35891.062
T1189067,33700.55
T1189068,30599.545
T1189069,30769.148
T1189070,45813.85
T1189071,29132.574
T1189072,35508.387
T1189073,51400.594
T1189074,24616.674
T1189075,35633.676
T1189076,60201.906
T1189077,26393.494
T1189078,33700.55
T1189079,38300.93
T1189080,30769.148
T1189081,56081.117
T1189082,43913.156
T1189083,60201.906
T1189084,30599.545
T1189085,35633.676
T1189086,35891.062
T1189087,35891.062
T1189088,38672.55
T1189089,35508.387
T1189090,35633.676
T1189091,35891.062
T1189092,35633.676
T1189093,35633.676
T1189094,26709.412
T1189095,60201.906
T1189096,44683.65
T1189097,33700.55
T1189098,25570.832
T1189099,33700.55
T1189100,56081.117
T1189101,30769.148
T1189102,38672.55
T1189103,35891.062
T1189104,60201.906
T1189105,51632.965
T1189106,28779.1
T1189107,38300.93
T1189108,35508.387
T1189109,46079.105
T1189110,45813.85
T1189111,33700.55
T1189112,35633.676
T1189113,23991.74
T1189114,26393.494
T1189115,33700.55
T1189116,51400.594
T1189117,26393.494
T1189118,33700.55
T1189119,26709.412
T1189120,38672.55
T1189121,22464.139
T1189122,45813.85
T1189123,30769.148
T1189124,35633.676
T1189125,35508.387
T1189126,29132.574
T1189127,46025.406
T1189128,60711.23
T1189129,35508.387
T1189130,35508.387
T1189131,56081.117
T1189132,33704.25
T1189133,24616.674
T1189134,45813.85
T1189135,33700.55
T1189136,38025.418
T1189137,26859.348
T1189138,35508.387
T1189139,29902.953
T1189140,51885.652
T1189141,41896.977
T1189142,64720.156
T1189143,29132.574
T1189144,35231.164
T1189145,30599.545
T1189146,19529.248
T1189147,38300.93
T1189148,35891.062
T1189149,46563.22
T1189150,35633.676
T1189151,35633.676
T1189152,49216.934
T1189153,60711.23
T1189154,60711.23
T1189155,38300.93
T1189156,51400.594
T1189157,35633.676
T1189158,53304.19
T1189159,35633.676
T1189160,28440.693
T1189161,38483.355
T1189162,35508.387
T1189163,22464.139
T1189164,35891.062
T1189165,35891.062
T1189166,29132.574
T1189167,33700.55
T1189168,45813.85
T1189169,28182.633
T1189170,35633.676
T1189171,28440.693
T1189172,73027.555
T1189173,51400.594
T1189174,24616.674
T1189175,45813.85
T1189176,35633.676
T1189177,33704.25
T1189178,29132.574
T1189179,35633.676
T1189180,35508.387
T1189181,29132.574
T1189182,51400.594
T1189183,35508.387
T1189184,28440.693
T1189185,30769.148
T1189186,45813.85
T1189187,41885.445
T1189188,35633.676
T1189189,47651.6
T1189190,44540.582
T1189191,60201.906
T1189192,60201.906
T1189193,35508.387
T1189194,35891.062
T1189195,60201.906
T1189196,35891.062
T1189197,44540.582
T1189198,43913.156
T1189199,35633.676
T1189200,30769.148
T1189201,40905.195
T1189202,33704.25
T1189203,35891.062
T1189204,60201.906
T1189205,41896.977
T1189206,30599.545
T1189207,35508.387
T1189208,38483.355
T1189209,60201.906
T1189210,41896.977
T1189211,38672.55
T1189212,60201.906
T1189213,26709.412
T1189214,41896.977
T1189215,60201.906
T1189216,35633.676
T1189217,51632.965
T1189218,40905.195
T1189219,35633.676
T1189220,47360.586
T1189221,40905.195
T1189222,26428.738
T1189223,45821.914
T1189224,35231.164
T1189225,26859.348
T1189226,51400.594
T1189227,19529.248
T1189228,47360.586
T1189229,19529.248
T1189230,60201.906
T1189231,48092.773
T1189232,30599.545
T1189233,35891.062
T1189234,46079.105
T1189235,23492.162
T1189236,60201.906
T1189237,35508.387
T1189238,33700.55
T1189239,35508.387
T1189240,46846.7
T1189241,35508.387
T1189242,46846.7
T1189243,19529.248
T1189244,19529.248
T1189245,44937.38
T1189246,35891.062
T1189247,22464.139
T1189248,35633.676
T1189249,60201.906
T1189250,60201.906
T1189251,19529.248
T1189252,40905.195
T1189253,51400.594
T1189254,44540.582
T1189255,47651.6
T1189256,21504.174
T1189257,30599.545
T1189258,60711.23
T1189259,35891.062
T1189260,34903.637
T1189261,45813.85
T1189262,40905.195
T1189263,46025.406
T1189264,38300.93
T1189265,19529.248
T1189266,76736.06
T1189267,60201.906
T1189268,27231.727
T1189269,33700.55
T1189270,35508.387
T1189271,36415.695
T1189272,35891.062
T1189273,51400.594
T1189274,35633.676
T1189275,51400.594
T1189276,51400.594
T1189277,47360.586
T1189278,34323.82
T1189279,33223.242
T1189280,35508.387
T1189281,20664.982
T1189282,33700.55
T1189283,28182.633
T1189284,56081.117
T1189285,30769.148
T1189286,35508.387
T1189287,35508.387
T1189288,60201.906
T1189289,60711.23
T1189290,27231.727
T1189291,45813.85
T1189292,46025.406
T1189293,38672.55
T1189294,29766.91
T1189295,22464.139
T1189296,49216.934
T1189297,35508.387
T1189298,56081.117
T1189299,35508.387
T1189300,40905.195
T1189301,28440.693
T1189302,35633.676
T1189303,35633.676
T1189304,30769.148
T1189305,21504.174
T1189306,38672.55
T1189307,30769.148
T1189308,35891.062
T1189309,76736.06
T1189310,35633.676
T1189311,56081.117
T1189312,20664.982
T1189313,70649.61
T1189314,60711.23
T1189315,76736.06
T1189316,19529.248
T1189317,44540.582
T1189318,60201.906
T1189319,46025.406
T1189320,35633.676
T1189321,60201.906
T1189322,25570.832
T1189323,30599.545
T1189324,47360.586
T1189325,22464.139
T1189326,35633.676
T1189327,33700.55
T1189328,38672.55
T1189329,46563.22
T1189330,46846.7
T1189331,30599.545
T1189332,45813.85
T1189333,34530.008
T1189334,35508.387
T1189335,40905.195
T1189336,30599.545
T1189337,30599.545
T1189338,23492.162
T1189339,26859.348
T1189340,35633.676
T1189341,44540.582
T1189342,56081.117
T1189343,26859.348
T1189344,35891.062
T1189345,45813.85
T1189346,35633.676
T1189347,35891.062
T1189348,35891.062
T1189349,60201.906
T1189350,29132.574
T1189351,46079.105
T1189352,35891.062
