ID,Sales
T1188341,58287.5278729582
T1188342,35104.3197321744
T1188343,59190.9065078077
T1188344,33964.7056142359
T1188345,34476.9191246721
T1188346,59190.9065078077
T1188347,58287.5278729582
T1188348,44497.3921460199
T1188349,49148.7189385917
T1188350,29173.9448352618
T1188351,49384.9544216806
T1188352,34476.9191246721
T1188353,34200.9410973249
T1188354,38852.2678898967
T1188355,39755.6465247462
T1188356,30552.8826673494
T1188357,45009.605656456
T1188358,19515.8182734523
T1188359,35104.3197321744
T1188360,50288.3330565301
T1188361,24858.7432535258
T1188362,35204.2094599212
T1188363,39755.6465247462
T1188364,24858.7432535258
T1188365,35204.2094599212
T1188366,29925.4820598471
T1188367,34476.9191246721
T1188368,29410.1803183508
T1188369,34476.9191246721
T1188370,48658.2199760237
T1188371,34476.9191246721
T1188372,49384.9544216806
T1188373,29649.5040324999
T1188374,30552.8826673494
T1188375,59190.9065078077
T1188376,58051.2923898692
T1188377,30552.8826673494
T1188378,34476.9191246721
T1188379,25134.721280873
T1188380,59190.9065078077
T1188381,29925.4820598471
T1188382,34476.9191246721
T1188383,30313.5589532003
T1188384,29925.4820598471
T1188385,39128.2459172439
T1188386,34200.9410973249
T1188387,59190.9065078077
T1188388,58563.5059003054
T1188389,29410.1803183508
T1188390,71280.5242237307
T1188391,34200.9410973249
T1188392,48030.8193685215
T1188393,59190.9065078077
T1188394,44733.6276291088
T1188395,34200.9410973249
T1188396,59190.9065078077
T1188397,34200.9410973249
T1188398,38852.2678898967
T1188399,34476.9191246721
T1188400,45009.605656456
T1188401,35104.3197321744
T1188402,19003.6047630161
T1188403,59190.9065078077
T1188404,35104.3197321744
T1188405,34476.9191246721
T1188406,21510.7847679514
T1188407,58287.5278729582
T1188408,33964.7056142359
T1188409,41739.1217484229
T1188410,22022.9982783876
T1188411,58287.5278729582
T1188412,19515.8182734523
T1188413,34200.9410973249
T1188414,24858.7432535258
T1188415,34476.9191246721
T1188416,38852.2678898967
T1188417,49384.9544216806
T1188418,33964.7056142359
T1188419,48658.2199760237
T1188420,58563.5059003054
T1188421,19003.6047630161
T1188422,48030.8193685215
T1188423,58563.5059003054
T1188424,34200.9410973249
T1188425,34476.9191246721
T1188426,34200.9410973249
T1188427,58563.5059003054
T1188428,34476.9191246721
T1188429,59190.9065078077
T1188430,48658.2199760237
T1188431,34200.9410973249
T1188432,20143.2188809545
T1188433,58287.5278729582
T1188434,33964.7056142359
T1188435,29686.158345698
T1188436,48658.2199760237
T1188437,58563.5059003054
T1188438,22022.9982783876
T1188439,47754.8413411743
T1188440,34476.9191246721
T1188441,29925.4820598471
T1188442,35104.3197321744
T1188443,34200.9410973249
T1188444,39755.6465247462
T1188445,35104.3197321744
T1188446,24933.9796599286
T1188447,59190.9065078077
T1188448,58287.5278729582
T1188449,34476.9191246721
T1188450,33964.7056142359
T1188451,50288.3330565301
T1188452,20143.2188809545
T1188453,48658.2199760237
T1188454,29925.4820598471
T1188455,59190.9065078077
T1188456,21747.0202510404
T1188457,24622.5077704368
T1188458,35104.3197321744
T1188459,59190.9065078077
T1188460,19003.6047630161
T1188461,44733.6276291088
T1188462,34476.9191246721
T1188463,19239.8402461051
T1188464,48658.2199760237
T1188465,35104.3197321744
T1188466,30552.8826673494
T1188467,24306.5790524264
T1188468,33964.7056142359
T1188469,34200.9410973249
T1188470,20143.2188809545
T1188471,34476.9191246721
T1188472,39128.2459172439
T1188473,39128.2459172439
T1188474,45009.605656456
T1188475,20143.2188809545
T1188476,44497.3921460199
T1188477,33964.7056142359
T1188478,34200.9410973249
T1188479,20143.2188809545
T1188480,44733.6276291088
T1188481,49148.7189385917
T1188482,39128.2459172439
T1188483,49384.9544216806
T1188484,49148.7189385917
T1188485,24858.7432535258
T1188486,19239.8402461051
T1188487,34300.8308250717
T1188488,34200.9410973249
T1188489,34476.9191246721
T1188490,49148.7189385917
T1188491,34200.9410973249
T1188492,29649.5040324999
T1188493,29925.4820598471
T1188494,49384.9544216806
T1188495,26813.7590573616
T1188496,45009.605656456
T1188497,24306.5790524264
T1188498,34476.9191246721
T1188499,34476.9191246721
T1188500,58051.2923898692
T1188501,30552.8826673494
T1188502,34476.9191246721
T1188503,29413.2685494109
T1188504,29649.5040324999
T1188505,29925.4820598471
T1188506,48658.2199760237
T1188507,33964.7056142359
T1188508,34476.9191246721
T1188509,26537.7810300144
T1188510,34476.9191246721
T1188511,29925.4820598471
T1188512,39755.6465247462
T1188513,29686.158345698
T1188514,33964.7056142359
T1188515,58563.5059003054
T1188516,34476.9191246721
T1188517,48030.8193685215
T1188518,33964.7056142359
T1188519,48658.2199760237
T1188520,19003.6047630161
T1188521,50288.3330565301
T1188522,34200.9410973249
T1188523,24858.7432535258
T1188524,38616.0324068077
T1188525,59190.9065078077
T1188526,24858.7432535258
T1188527,34200.9410973249
T1188528,29173.9448352618
T1188529,48658.2199760237
T1188530,34200.9410973249
T1188531,49660.9324490278
T1188532,33964.7056142359
T1188533,34476.9191246721
T1188534,34476.9191246721
T1188535,58287.5278729582
T1188536,59190.9065078077
T1188537,58563.5059003054
T1188538,58563.5059003054
T1188539,45009.605656456
T1188540,39755.6465247462
T1188541,34200.9410973249
T1188542,59190.9065078077
T1188543,34200.9410973249
T1188544,33964.7056142359
T1188545,34476.9191246721
T1188546,27441.1596648639
T1188547,33964.7056142359
T1188548,49384.9544216806
T1188549,24858.7432535258
T1188550,35104.3197321744
T1188551,33964.7056142359
T1188552,20143.2188809545
T1188553,34200.9410973249
T1188554,59190.9065078077
T1188555,33964.7056142359
T1188556,58287.5278729582
T1188557,19515.8182734523
T1188558,27441.1596648639
T1188559,35104.3197321744
T1188560,34200.9410973249
T1188561,39755.6465247462
T1188562,26813.7590573616
T1188563,33964.7056142359
T1188564,58563.5059003054
T1188565,39755.6465247462
T1188566,38852.2678898967
T1188567,48658.2199760237
