ID,Sales
T1188341,96548.81
T1188342,54089.918
T1188343,103850.234
T1188344,54754.61
T1188345,52209.883
T1188346,103850.234
T1188347,96548.81
T1188348,75166.58
T1188349,82364.47
T1188350,46328.492
T1188351,85833.24
T1188352,52209.883
T1188353,58664.035
T1188354,69465.04
T1188355,63798.414
T1188356,50067.383
T1188357,69921.34
T1188358,34771.45
T1188359,54089.918
T1188360,82059.73
T1188361,44437.402
T1188362,62208.11
T1188363,63798.414
T1188364,44437.402
T1188365,62208.11
T1188366,46886.242
T1188367,52209.883
T1188368,46124.297
T1188369,52209.883
T1188370,72533.71
T1188371,52209.883
T1188372,85833.24
T1188373,50766.11
T1188374,50067.383
T1188375,103850.234
T1188376,93735.695
T1188377,50067.383
T1188378,52209.883
T1188379,39309.453
T1188380,103850.234
T1188381,46886.242
T1188382,52209.883
T1188383,45253.473
T1188384,46886.242
T1188385,67178.125
T1188386,58664.035
T1188387,103850.234
T1188388,89916.94
T1188389,46124.297
T1188390,101773.875
T1188391,58664.035
T1188392,70984.48
T1188393,103850.234
T1188394,78868.85
T1188395,58664.035
T1188396,103850.234
T1188397,58664.035
T1188398,69465.04
T1188399,52209.883
T1188400,69921.34
T1188401,54089.918
T1188402,35440.895
T1188403,103850.234
T1188404,54089.918
T1188405,52209.883
T1188406,36257.02
T1188407,96548.81
T1188408,54754.61
T1188409,48346.94
T1188410,35221.754
T1188411,96548.81
T1188412,34771.45
T1188413,58664.035
T1188414,44437.402
T1188415,52209.883
T1188416,69465.04
T1188417,85833.24
T1188418,54754.61
T1188419,72533.71
T1188420,89916.94
T1188421,35440.895
T1188422,70984.48
T1188423,89916.94
T1188424,58664.035
T1188425,52209.883
T1188426,58664.035
T1188427,89916.94
T1188428,52209.883
T1188429,103850.234
T1188430,72533.71
T1188431,58664.035
T1188432,34770.61
T1188433,96548.81
T1188434,54754.61
T1188435,42903.02
T1188436,72533.71
T1188437,89916.94
T1188438,35221.754
T1188439,73674.516
T1188440,52209.883
T1188441,46886.242
T1188442,54089.918
T1188443,58664.035
T1188444,63798.414
T1188445,54089.918
T1188446,46390.242
T1188447,103850.234
T1188448,96548.81
T1188449,52209.883
T1188450,54754.61
T1188451,82059.73
T1188452,34770.61
T1188453,72533.71
T1188454,46886.242
T1188455,103850.234
T1188456,40782.08
T1188457,42638.477
T1188458,54089.918
T1188459,103850.234
T1188460,35440.895
T1188461,78868.85
T1188462,52209.883
T1188463,37572.24
T1188464,72533.71
T1188465,54089.918
T1188466,50067.383
T1188467,42464.15
T1188468,54754.61
T1188469,58664.035
T1188470,34770.61
T1188471,52209.883
T1188472,67178.125
T1188473,67178.125
T1188474,69921.34
T1188475,34770.61
T1188476,75166.58
T1188477,54754.61
T1188478,58664.035
T1188479,34770.61
T1188480,78868.85
T1188481,82364.47
T1188482,67178.125
T1188483,85833.24
T1188484,82364.47
T1188485,44437.402
T1188486,37572.24
T1188487,64261.477
T1188488,58664.035
T1188489,52209.883
T1188490,82364.47
T1188491,58664.035
T1188492,50766.11
T1188493,46886.242
T1188494,85833.24
T1188495,41736.55
T1188496,69921.34
T1188497,42464.15
T1188498,52209.883
T1188499,52209.883
T1188500,93735.695
T1188501,50067.383
T1188502,52209.883
T1188503,48302.832
T1188504,50766.11
T1188505,46886.242
T1188506,72533.71
T1188507,54754.61
T1188508,52209.883
T1188509,47839.28
T1188510,52209.883
T1188511,46886.242
T1188512,63798.414
T1188513,42903.02
T1188514,54754.61
T1188515,89916.94
T1188516,52209.883
T1188517,70984.48
T1188518,54754.61
T1188519,72533.71
T1188520,35440.895
T1188521,82059.73
T1188522,58664.035
T1188523,44437.402
T1188524,67027.62
T1188525,103850.234
T1188526,44437.402
T1188527,58664.035
T1188528,46328.492
T1188529,72533.71
T1188530,58664.035
T1188531,78043.77
T1188532,54754.61
T1188533,52209.883
T1188534,52209.883
T1188535,96548.81
T1188536,103850.234
T1188537,89916.94
T1188538,89916.94
T1188539,69921.34
T1188540,63798.414
T1188541,58664.035
T1188542,103850.234
T1188543,58664.035
T1188544,54754.61
T1188545,52209.883
T1188546,46191.97
T1188547,54754.61
T1188548,85833.24
T1188549,44437.402
T1188550,54089.918
T1188551,54754.61
T1188552,34770.61
T1188553,58664.035
T1188554,103850.234
T1188555,54754.61
T1188556,96548.81
T1188557,34771.45
T1188558,46191.97
T1188559,54089.918
T1188560,58664.035
T1188561,63798.414
T1188562,41736.55
T1188563,54754.61
T1188564,89916.94
T1188565,63798.414
